channelsToEnergies	channelsToEnergies_intrp
520.50452	520.76605
520.62756	520.88916
520.75067	521.01227
520.87384	521.1355
520.99707	521.25867
521.1203	521.38196
521.24365	521.50537
521.36707	521.62878
521.49054	521.75232
521.61407	521.87585
521.73761	521.99945
521.86127	522.12311
521.98492	522.24683
522.1087	522.37061
522.23254	522.49451
522.35638	522.61835
522.48029	522.74231
522.60431	522.86633
522.72833	522.99042
522.85248	523.11456
522.97662	523.23877
523.10083	523.36298
523.2251	523.4873
523.34949	523.61169
523.47388	523.73608
523.59833	523.8606
523.72284	523.98511
523.84741	524.10974
523.97205	524.23438
524.09674	524.35913
524.2215	524.48389
524.34631	524.60876
524.47119	524.73364
524.59613	524.85864
524.72113	524.98364
524.84619	525.10876
524.97125	525.23389
525.09644	525.35907
525.22168	525.48438
525.34698	525.60968
525.47235	525.73505
525.59772	525.86047
525.72321	525.98596
525.84875	526.11157
525.9743	526.23718
526.09998	526.36285
526.22571	526.48859
526.35144	526.61438
526.47729	526.74023
526.60321	526.86621
526.72913	526.99219
526.85516	527.11816
526.9812	527.24426
527.10736	527.37048
527.23352	527.4967
527.3598	527.62292
527.48608	527.74927
527.61249	527.87573
527.73889	528.0022
527.86542	528.12866
527.99194	528.25525
528.11859	528.38196
528.24524	528.50867
528.37201	528.63538
528.49878	528.76221
528.62567	528.88916
528.75256	529.01611
528.87958	529.14307
529.00659	529.27014
529.13367	529.39728
529.26086	529.52448
529.38806	529.65173
529.51538	529.77905
529.6427	529.90643
529.77014	530.03387
529.89758	530.16138
530.02515	530.28894
530.15271	530.41656
530.2804	530.54425
530.40808	530.672
530.53589	530.7998
530.6637	530.92767
530.79163	531.0556
530.91956	531.18359
531.04761	531.31165
531.17566	531.43976
531.30383	531.56793
531.43201	531.69617
531.5603	531.82446
531.68866	531.95288
531.81702	532.0813
531.9455	532.20978
532.07404	532.33832
532.20258	532.46692
532.33124	532.59558
532.45996	532.72437
532.58868	532.85315
532.71753	532.98199
532.84644	533.11096
532.9754	533.23987
533.10437	533.3689
533.23346	533.49805
533.36261	533.6272
533.49182	533.75647
533.62109	533.88574
533.75043	534.01514
533.87982	534.14453
534.00928	534.27405
534.13879	534.40356
534.26837	534.5332
534.39801	534.66284
534.52771	534.7926
534.65747	534.92236
534.78729	535.05225
534.91724	535.18225
535.04718	535.31219
535.17719	535.44226
535.30725	535.57239
535.43744	535.70251
535.56763	535.83276
535.69794	535.96313
535.82825	536.09344
535.95862	536.22388
536.08911	536.35437
536.21967	536.48499
536.35022	536.6156
536.4809	536.74628
536.61163	536.87701
536.74237	537.00781
536.87323	537.13867
537.00415	537.26965
537.13513	537.40063
537.26617	537.53174
537.39728	537.66284
537.52844	537.79407
537.65967	537.92529
537.79095	538.05664
537.9223	538.18799
538.05371	538.31946
538.18524	538.45105
538.31677	538.58258
538.44836	538.71423
538.58008	538.84595
538.71179	538.97772
538.84363	539.10956
538.97546	539.24146
539.10742	539.37341
539.23944	539.50549
539.37152	539.63757
539.5036	539.76971
539.6358	539.90198
539.76807	540.03424
539.90039	540.16663
540.03278	540.29901
540.16522	540.43152
540.29779	540.56409
540.43036	540.69666
540.56299	540.82935
540.69574	540.96216
540.82849	541.09497
540.96136	541.22778
541.09424	541.36072
541.22723	541.49377
541.36029	541.62683
541.49341	541.76001
541.62659	541.89319
541.75983	542.02649
541.89313	542.15979
542.02649	542.29321
542.15991	542.42664
542.2934	542.56018
542.42694	542.69379
542.56061	542.82745
542.69427	542.96118
542.82806	543.09497
542.96191	543.22888
543.09576	543.36279
543.22974	543.49677
543.36377	543.63086
543.49786	543.76495
543.63202	543.89917
543.76624	544.03345
543.90057	544.16772
544.03491	544.30212
544.16931	544.43658
544.30383	544.57117
544.43842	544.70569
544.573	544.84033
544.7077	544.9751
544.84247	545.10986
544.97729	545.24475
545.11218	545.37964
545.24713	545.51465
545.38214	545.64972
545.51727	545.78485
545.6524	545.92004
545.78766	546.0553
545.92291	546.19061
546.05829	546.32605
546.19373	546.46149
546.32922	546.59705
546.46478	546.7326
546.6004	546.86829
546.73608	547.00397
546.87183	547.13977
547.00769	547.27563
547.14355	547.41156
547.27954	547.54761
547.41559	547.68365
547.5517	547.81982
547.68787	547.95599
547.8241	548.09229
547.96039	548.22858
548.09674	548.36499
548.23322	548.50146
548.36969	548.638
548.50629	548.77466
548.64294	548.91132
548.77966	549.0481
548.91644	549.18488
549.05328	549.32178
549.19019	549.45868
549.32715	549.5957
549.46423	549.73279
549.60132	549.86993
549.73853	550.0072
549.87579	550.14447
550.01312	550.28186
550.15051	550.41925
550.28796	550.55676
550.42554	550.69434
550.56311	550.83197
550.70081	550.96967
550.8385	551.10742
550.97632	551.24524
551.1142	551.38318
551.25214	551.52112
551.39014	551.65918
551.52826	551.79736
551.66638	551.93555
551.80463	552.07379
551.94293	552.21216
552.0813	552.35052
552.21973	552.48901
552.35822	552.6275
552.49677	552.76611
552.63544	552.90479
552.77411	553.04352
552.9129	553.18237
553.05176	553.32123
553.19067	553.46021
553.32965	553.59918
553.46869	553.73828
553.60785	553.87744
553.74701	554.01666
553.88629	554.15601
554.02563	554.29535
554.16504	554.43481
554.3045	554.57428
554.44403	554.71387
554.58368	554.85352
554.72339	554.99329
554.8631	555.13306
555.00293	555.27289
555.14282	555.41284
555.28284	555.55286
555.42285	555.69293
555.56299	555.83307
555.70312	555.97327
555.84338	556.11353
555.9837	556.25391
556.12415	556.39441
556.26459	556.53485
556.40509	556.67542
556.54572	556.81604
556.6864	556.95679
556.82715	557.09753
556.96796	557.2384
557.10889	557.37939
557.24982	557.52039
557.39087	557.66144
557.53198	557.80261
557.67316	557.94379
557.81439	558.08508
557.95569	558.22644
558.09711	558.36786
558.23859	558.50934
558.38007	558.65088
558.52173	558.7926
558.66339	558.93427
558.80511	559.07605
558.94696	559.2179
559.08887	559.35986
559.23083	559.50183
559.37286	559.64392
559.51495	559.78607
559.65717	559.92828
559.79938	560.07056
559.94171	560.21289
560.08411	560.35535
560.22656	560.49786
560.36914	560.6405
560.51178	560.78308
560.65442	560.92578
560.79718	561.0686
560.94006	561.21155
561.08295	561.35449
561.22595	561.49744
561.36896	561.6405
561.51208	561.78369
561.65527	561.92694
561.79858	562.07025
561.94189	562.21362
562.08533	562.35706
562.22882	562.50061
562.37238	562.64423
562.51605	562.7879
562.65973	562.93164
562.80353	563.07544
562.94739	563.21936
563.09131	563.36328
563.23529	563.50732
563.37939	563.65149
563.52356	563.79565
563.66779	563.93994
563.81207	564.08423
563.95642	564.22864
564.10089	564.37317
564.24542	564.5177
564.39001	564.66235
564.53467	564.80707
564.67944	564.95184
564.82422	565.09668
564.96912	565.24164
565.11414	565.38666
565.25916	565.53174
565.40424	565.67688
565.54944	565.82208
565.6947	565.96741
565.84009	566.11279
565.98547	566.25824
566.13098	566.40381
566.27655	566.54938
566.42218	566.69507
566.56787	566.84082
566.71368	566.98663
566.85956	567.13257
567.00549	567.2785
567.15149	567.42456
567.29755	567.57068
567.44373	567.71686
567.58997	567.86316
567.73627	568.00952
567.88269	568.15594
568.02917	568.30243
568.17566	568.44897
568.32233	568.5957
568.46899	568.74243
568.61578	568.88922
568.76263	569.03613
568.90955	569.18304
569.05652	569.33008
569.20361	569.47717
569.35077	569.62439
569.49799	569.77161
569.64526	569.91895
569.79266	570.06641
569.94012	570.21387
570.08765	570.36145
570.23523	570.50909
570.38293	570.6568
570.53064	570.80457
570.67853	570.95251
570.82642	571.10046
570.97443	571.24841
571.12244	571.39655
571.27063	571.54474
571.41882	571.69299
571.56714	571.84131
571.71552	571.98975
571.86395	572.13818
572.01245	572.28674
572.16107	572.43542
572.30975	572.58411
572.4585	572.73291
572.60736	572.88184
572.75623	573.03076
572.90527	573.17981
573.05432	573.32886
573.20343	573.47803
573.35266	573.62732
573.50195	573.77667
573.65137	573.92615
573.80084	574.07562
573.95038	574.22522
574.09998	574.37482
574.24963	574.52454
574.39941	574.67432
574.54926	574.82422
574.69916	574.97418
574.84918	575.12427
574.99927	575.27435
575.14941	575.42456
575.29968	575.57483
575.44995	575.72522
575.6004	575.87561
575.75085	576.02612
575.90143	576.17676
576.052	576.32739
576.20276	576.47815
576.35352	576.62897
576.50439	576.77991
576.65533	576.93085
576.80634	577.08191
576.95746	577.23303
577.10864	577.38428
577.25989	577.53558
577.41125	577.68701
577.56268	577.83844
577.71417	577.98999
577.86578	578.1416
578.0174	578.29327
578.16913	578.44507
578.32098	578.59692
578.4729	578.7489
578.62488	578.90088
578.77692	579.05298
578.92902	579.20514
579.08124	579.35742
579.23358	579.50977
579.38593	579.66217
579.53839	579.8147
579.69092	579.96729
579.84357	580.11993
579.99628	580.27271
580.14905	580.42548
580.30188	580.57837
580.45483	580.73132
580.60785	580.8844
580.76099	581.0376
580.91412	581.1908
581.06738	581.34412
