SU
Andor
Scan Type: One Motor From File
C:\Beamline Controls\BCS Setup Data\ScanFiles\Zakaria Long Pickle RIXS\CoL3.txt
X Motor: BL 8 Energy
Delay After Move (s): 0.10000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\240705\CCD Scan 17175
Time	Frame #	BL 8 Energy	Izero	Izero 2	TFY	TEY	Sample Current	Beam Current	Total Flux	Counts	Background	Filename
22:20:30	35.00000000	784.10925912	30029303.00000000	650672.00000000	8653666.00000000	245974.00000000	0.00000000	0.00000000	0.00000000	988799.00000000	334.00000000	cox17175-00035
22:25:36	36.00000000	784.50464227	30045457.00000000	652247.00000000	8399447.00000000	243786.00000000	0.00000000	0.00000000	0.00000000	920669.00000000	335.00000000	cox17175-00036
22:30:44	37.00000000	784.91423795	30040512.00000000	656520.00000000	8313384.00000000	242344.00000000	0.00000000	0.00000000	0.00000000	848989.00000000	334.00000000	cox17175-00037
22:35:51	38.00000000	785.61014931	29963932.00000000	655749.00000000	8994410.00000000	241421.00000000	0.00000000	0.00000000	0.00000000	778374.00000000	335.00000000	cox17175-00038
22:40:59	39.00000000	785.80393348	30023716.00000000	655464.00000000	8949681.00000000	240894.00000000	0.00000000	0.00000000	0.00000000	710164.00000000	336.00000000	cox17175-00039
22:46:05	40.00000000	786.00243064	30064717.00000000	655716.00000000	8558213.00000000	240636.00000000	0.00000000	0.00000000	0.00000000	772865.00000000	334.00000000	cox17175-00040
22:51:12	41.00000000	786.20102811	30086285.00000000	655058.00000000	8188985.00000000	239601.00000000	0.00000000	0.00000000	0.00000000	751230.00000000	335.00000000	cox17175-00041
22:56:19	42.00000000	786.40897017	30230584.00000000	656716.00000000	7959741.00000000	239454.00000000	0.00000000	0.00000000	0.00000000	734354.00000000	335.00000000	cox17175-00042
23:01:26	43.00000000	786.61239770	30251594.00000000	658825.00000000	7829819.00000000	239224.00000000	0.00000000	0.00000000	0.00000000	754654.00000000	333.00000000	cox17175-00043
23:06:33	44.00000000	786.81593050	30267835.00000000	660304.00000000	7730227.00000000	238947.00000000	0.00000000	0.00000000	0.00000000	734792.00000000	334.00000000	cox17175-00044
23:11:40	45.00000000	787.00568090	30330526.00000000	661674.00000000	7668038.00000000	238723.00000000	0.00000000	0.00000000	0.00000000	696788.00000000	335.00000000	cox17175-00045
23:16:46	46.00000000	787.20478578	30262385.00000000	663416.00000000	7590277.00000000	238277.00000000	0.00000000	0.00000000	0.00000000	704861.00000000	336.00000000	cox17175-00046
23:21:54	47.00000000	787.71458265	30426020.00000000	668439.00000000	7516669.00000000	239154.00000000	0.00000000	0.00000000	0.00000000	748043.00000000	334.50000000	cox17175-00047
23:27:02	48.00000000	788.20646661	30369921.00000000	671369.00000000	7420391.00000000	238757.00000000	0.00000000	0.00000000	0.00000000	722913.00000000	335.00000000	cox17175-00048
